organisation,tr_id,meeting_count,source_kind,source_type,source_date,source_commissioner,source_text,amendment_number,target_element,target_type,original_text,amended_text,justification,cosine_score,amendment_direction,label,reasoning
Microsoft Corporation,0801162959-21,5,feedback,hys_feedback,2021-08-06,,"Article 64: Add safeguards to market surveillance authorities’ right of access to data and source code Article 64(1) authorizes market surveillance authorities to demand “full access to the training, validation and testing datasets used by the provider” (Art. 64(1)), and to the AI system’s source code upon a “reasoned request” (Art. 64(2)). Given the security, privacy, and trade secret risks associated with sharing source code and datasets, and the availability of effective auditing methods that do not require such steps, we believe that market surveillance authorities should be required to first use those other methods to assess AI system functioning and compliance, in line with the proportionality principle. Should authorities still consider access to datasets and/or source code essential after applying these methods, we think judicial authorization and oversight is an appropriate and necessary safeguard. 10",2713,Article 65 – paragraph 2 – introductory part,article,"2.	Where the market surveillance authority of a Member State has sufficient reasons to consider that an AI system presents a risk as referred to in paragraph 1, they shall carry out an evaluation of the AI system concerned in respect of its compliance with all the requirements and obligations laid down in this Regulation. When risks to the protection of fundamental rights are present, the market surveillance authority shall also inform the relevant national public authorities or bodies referred to in Article 64(3). The relevant operators shall cooperate as necessary with the market surveillance authorities and the other national public authorities or bodies referred to in Article 64(3).","2.	Where the market surveillance authority of a Member State has sufficient reasons to consider that an AI system presents a risk as referred to in paragraph 1, they shall carry out an evaluation of the AI system concerned in respect of its compliance with all the requirements and obligations laid down in this Regulation. When risks to the protection of fundamental rights are present, the market surveillance authority shall also inform the relevant national public authorities, Boardor bodies referred to in Article 64(3).Where there is sufficient reason to consider that that an AI system exploits the vulnerabilities of children or violates their rights intentionally or unintentionally, the market surveillance authority shall have the duty to investigate the design goals, data inputs, model selection, implementation and outcomes of the AI system and the burden of proof shall be on the operator or operators of that system to demonstrate compliance with the provisions of this Regulation. The relevant operators shall cooperate as necessary with the market surveillance authorities and the other national public authorities or bodies referred to in Article 64(3), including by providing access to personnel, documents, internal communications, code, data samples and on platform testing as necessary.",,0.8881,"The amendment expands the notification requirement by adding the 'Board' alongside national public authorities and bodies, and introduces a new condition addressing AI systems that exploit users, strengthening oversight mechanisms.",NOISE,"Microsoft's matched text focuses on adding safeguards and limiting market surveillance authorities' access to source code and datasets, which is a distinct concern from the amendment's changes to notification recipients and exploitation conditions in Article 65(2); the two do not meaningfully align or oppose each other."
Siemens Healthineers,982823533509-58,0,feedback,hys_feedback,2021-08-06,,"Requirements on human oversight also provide for individuals exercising oversight to “fully understand the capacities and limitations of high-risk AI system” further requiring them to be able to spot animalities, dysfunctions and unexpected performance. Firstly, without clear definition on what ‘full understanding’ entails, it remains uncertain how to comply with it. Secondly, a software provider needs to make available to the user of an AI system information that is of practical value and comprehensible. This may impact the ‘fullness’ and depth of understanding of, for instance, specific technical background knowledge. Recommendation: We suggest that Article 14 (4) requires of an individual excursing oversight to “sufficiently understand” the AI system to ensure its intended purpose and functioning. Measures in support of innovation We support the European Commission’s aim to foster innovation by providing opportunities for SMEs and start- ups through establishing regulatory sandboxes. However, we fear it may be too modest in reaching its objectives since providing for such measures remains a voluntary initiative by the Member States. In addition, it is not clear if successful outcome of sandboxing occurring in one Member State will be effective across other Member States",3272,Annex IV – paragraph 1 – point 3,annex,"3.	Detailed information about the monitoring, functioning and control of the AI system, in particular with regard to: its capabilities and limitations in performance, including the degrees of accuracy for specific persons or groups of persons on which the system is intended to be used and the overall expected level of accuracy in relation to its intended purpose; the foreseeable unintended outcomes and sources of risks to health and safety, fundamental rights and discrimination in view of the intended purpose of the AI system; the human oversight measures needed in accordance with Article 14, including the technical measures put in place to facilitate the interpretation of the outputs of AI systems by the users; specifications on input data, as appropriate;","3.	Detailed information about the monitoring, functioning and control of the AI system, in particular with regard to: its capabilities and limitations in performance, including the degrees of accuracy for specific persons or groups of persons on which the system is intended to be used and the overall expected level of accuracy in relation to its intended purposeor reasonably foreseeable use; the foreseeable unintended outcomes and sources of risks to health and safety, fundamental rights and discrimination in view of the intended purposeor reasonably foreseeable useof the AI system; the human oversight measures needed in accordance with Article 14, including the technical measures put in place to facilitate the interpretation of the outputs of AI systems by the users; specifications on input data, as appropriate;",,0.8873,"The amendment expands the scope of required monitoring and risk information to cover not only the AI system's ""intended purpose"" but also its ""reasonably foreseeable use.""",NOISE,"Siemens Healthineers' post-proposal text focuses on human oversight requirements and the practical burden of achieving ""full understanding"" of AI system capabilities and limitations, which does not directly address or align with/oppose the amendment's specific expansion to ""reasonably foreseeable use."""
Microsoft Corporation,0801162959-21,5,feedback,hys_feedback,2021-08-06,,"That list of crimes, however, includes a range of lower level, non-violent crimes, including forgery and counterfeiting, for which use of real-time remote biometric identification systems in publicly accessible spaces seems to be disproportionate. We recommend further discussion on this issue and potentially further limiting law enforcement use of such systems to the most serious and violent crimes, for example murder, armed robbery, and kidnapping. • Requiring each individual use of the technology to be subject to prior judicial authorization The Act currently requires each use of real-time remote biometric identification be subject to prior authorization via judicial authority or independent administrative authority of a Member State. We strongly support this need for authorization which is important in ensuring public oversight and democratic accountability around law enforcement use of these technologies. 11",1373,Article 5 – paragraph 3 – introductory part,article,"3.	As regards paragraphs 1, point (d) and 2, eachindividualuse for the purpose of law enforcement of a ‘real-time’ remote biometric identification system in publicly accessible spaces shall be subject to a prior authorisation granted by a judicial authority or by an independent administrative authority of the Member State in which the use is to take place, issued upon a reasoned request and in accordance with the detailed rules of national law referred to in paragraph 4. However, in a duly justified situation of urgency, the use of the system may be commenced without an authorisationand theauthorisationmay berequestedonly during or after the use.","3.	As regards paragraphs 1, point (d) and 2, each use for the purpose of law enforcement of a ‘real-time’ remote biometric identification system in publicly accessible spaces shall be subject to a prior authorisation granted by a judicial authority or by an independent administrative authority of the Member State in which the use is to take place, issued upon a reasoned request and in accordance with the detailed rules of national law referred to in paragraph 4. However, in a duly justified situation of urgency, the use of the system may be commenced without an authorisationif suchauthorisationisrequestedwithout undue delay, and, if such authorisation is rejected, the system’s use is stopped with immediate effect.",,0.8869,"Removes the word 'individual' from the requirement that 'each individual use' of real-time remote biometric identification systems be subject to prior authorisation, broadening or generalising the scope of the authorisation requirement.",NOISE,"Microsoft's position focuses on restricting the list of eligible crimes and limiting authorisation to judicial (not administrative) authorities, not on the removal of the word 'individual' from the prior-authorisation requirement, so the amendment's minor textual change does not clearly align with or oppose Microsoft's stated concerns."
Microsoft Corporation,0801162959-21,5,feedback,hys_feedback,2021-08-06,,"As drafted, the AI Act’s post-market monitoring obligations appear to fall almost entirely on providers. Although apparently modeled on the EU’s product safety framework, this approach is not well suited to AI services, since suppliers of AI services often will have no visibility into how their customers deploy these services into their own systems, and in many cases would need to work with customers to address any risks that might arise in specific deployments. We offer several suggestions for modifying the AI Act’s post-marketing monitoring rules to better address the realities of the AI ecosystem today and into the future. We conclude by setting out further changes to promote innovation and strengthen fundamental rights protections for affected individuals, including in relation to law enforcement use of remote biometric identification technology. Substantive comments 1. Calibrate regulatory obligations to better reflect the roles of different actors in the AI ecosystem AI systems can create risks to fundamental rights that are sociotechnical in nature: they concern the capabilities and limitations of the technology, combined with people’s expectations of it and the societal context of its use. For example, risks may emerge at the intersection of system design decisions taken by AI model builders and decisions taken by deploying organizations as to how and where and when to use the AI model in a final system",683,Recital 64,recital,"(64)	Given the more extensive experience of professional pre-market certifiers in the field of product safety and the different nature of risks involved, it is appropriate to limit, at least in an initial phase of application of this Regulation, the scope of application of third-party conformity assessment for high-risk AI systems other than those related to products. Therefore, the conformity assessment of such systems should be carried out as a general rule by the provider under its own responsibility, with theonlyexception of AI systems intended to be used for the remote biometric identification of persons, for whichthe involvement of a notified body in the conformity assessment should be foreseen, to the extent they are not prohibited.","(64)	Given the more extensive experience of professional pre-market certifiers in the field of product safety and the different nature of risks involved, it is appropriate to limit, at least in an initial phase of application of this Regulation, the scope of application of third-party conformity assessment for high-risk AI systems other than those related to products. Therefore, the conformity assessment of such systems should be carried out as a general rule by the provider under its own responsibility, with the exception of AI systems intended to be used for the remote biometric identification of personsand AI systems intended to be used to make inferences on the basis of biometric data that produce legal effects or affect the rights and freedoms of natural persons.For those types of AI systemsthe involvement of a notified body in the conformity assessment should be foreseen, to the extent they are not prohibited..",,0.8868,"Removes the word 'only' from the exception clause, broadening the scope of exceptions to the general rule that providers self-certify conformity assessment (i.e., softening the restriction on third-party conformity assessment exceptions).",NOISE,"Microsoft's post-proposal text focuses on the allocation of post-market monitoring obligations across the AI value chain and the need for shared responsibilities between providers and deployers, which does not address or align with the narrow textual change of removing 'only' from the exception clause in Recital 64."
Facebook Ireland Limited,28666427835-74,0,feedback,hys_feedback,2021-08-06,,"definition of AI should distinguish between AI that learns to make decisions over time— including complex sets of decisions around human-level cognitive acts like driving a car, playing chess, or making judgments about someone’s job application—from software that produces outputs that are based on hard-coded, human-written rules. To this end, we suggest the Commission consider a definition of AI that more closely aligns with globally accepted definitions that are already applied in industry. For example, the definition offered by the Expert Group on AI at the OECD captures the distinction between complex AI systems and general logic-based algorithms that we note above: “An AI system is a machine-based system that is capable of influencing the Environment by making recommendations, predictions or decisions for a given set of objectives. It does so by utilising machine and/or human-based inputs/data to: i) perceive real and/or virtual environments; ii) abstract such perceptions into models manually or automatically; and iii) use model interpretations to formulate options for outcomes.”15 b) Unclear prohibited practices Second, the descriptions of the prohibited practices in Article 5 of the AI Act would benefit from further specificity. Combined with the significant penalties attached to violating those provisions, the unclear language could deter investment and development in many less risky or even beneficial technologies",358,Recital 6,recital,"(6)	The notion of AI system should be clearly defined to ensure legal certainty, while providing the flexibility to accommodate future technological developments. The definition should be based on the key functional characteristics ofthe software, in particular the ability, for a given set of human-defined objectives, to generate outputs such as content, predictions, recommendations, or decisions which influencethe environment with which the system interacts, be it in aphysical or digitaldimension. AI systems can be designed to operate with varying levels of autonomy and be used on a stand-alone basis or as a component of a product, irrespective of whether the system is physically integrated into the product (embedded) or serve the functionality of the product without being integrated therein (non-embedded). The definition of AI system should be complemented by a list of specific techniques and approaches used for its development, which should be kept up-to–date in the light of market and technological developments through the adoption of delegated acts by the Commission to amend that list.","(6)	The notion of AI system should be clearly defined to ensure legal certainty, while providing the flexibility to accommodate future technological developments.Therefore, the term AI system should be defined in line with internationally accepted definitions.The definition should be based on the key functional characteristics ofAI systems, in particular the ability, for a given set of human-defined objectives, to generate outputs such as content, predictions, recommendations, or decisions which influencetheirphysical or digitalenvironment. AI systems can be designed to operate with varying levels of autonomy and be used on a stand-alone basis or as a component of a product, irrespective of whether the system is physically integrated into the product (embedded) or serve the functionality of the product without being integrated therein (non-embedded). The definition of AI system should be complemented by a list of specific techniques and approaches used for its development, which should be kept up-to–date in the light of market and technological developments through the adoption of delegated acts by the Commission to amend that list.In order to ensure alignment of definitions on an international level, the European Commission should engage in a dialogue with international organisations such as the Organisation for Economic Cooperation and Development (OECD), should their definitions of the term ‘AI system’ be adjusted.",,0.8867,"The amendment refines the definition of AI system by aligning it with internationally accepted definitions (e.g., OECD) and clarifying that AI systems influence their own physical or digital environment.",ALIGNED,"Facebook explicitly advocates for a definition of AI that ""more closely aligns with globally accepted definitions that are already applied in industry,"" directly mirroring the amendment's insertion requiring the term to be ""defined in line with internationally accepted definitions."""
Microsoft Corporation,0801162959-21,5,feedback,hys_feedback,2021-08-06,,"Article 64: Add safeguards to market surveillance authorities’ right of access to data and source code Article 64(1) authorizes market surveillance authorities to demand “full access to the training, validation and testing datasets used by the provider” (Art. 64(1)), and to the AI system’s source code upon a “reasoned request” (Art. 64(2)). Given the security, privacy, and trade secret risks associated with sharing source code and datasets, and the availability of effective auditing methods that do not require such steps, we believe that market surveillance authorities should be required to first use those other methods to assess AI system functioning and compliance, in line with the proportionality principle. Should authorities still consider access to datasets and/or source code essential after applying these methods, we think judicial authorization and oversight is an appropriate and necessary safeguard. 10",2695,Article 64 – paragraph 2,article,"2.	Where necessary to assess the conformity of the high-risk AI system with the requirements set out in Title III, Chapter 2 and upona reasonedrequest, the market surveillance authorities shall be granted access to the source code of the AI system.","2.	Where necessary to assess the conformity of the high-risk AI system with the requirements set out in Title III, Chapter 2 and upon request, the market surveillance authorities shall be granted access to the source code of the AI system.",,0.8866,"Weakens the condition for source code access by removing the 'reasoned' qualifier from the request requirement, making it easier for market surveillance authorities to access source code.",OPPOSING,"Microsoft explicitly advocates for stronger safeguards and higher bars before market surveillance authorities can access source code, whereas this amendment moves in the opposite direction by removing the 'reasoned' requirement, making access easier rather than harder."
Microsoft Corporation,0801162959-21,5,feedback,hys_feedback,2021-08-06,,"That list of crimes, however, includes a range of lower level, non-violent crimes, including forgery and counterfeiting, for which use of real-time remote biometric identification systems in publicly accessible spaces seems to be disproportionate. We recommend further discussion on this issue and potentially further limiting law enforcement use of such systems to the most serious and violent crimes, for example murder, armed robbery, and kidnapping. • Requiring each individual use of the technology to be subject to prior judicial authorization The Act currently requires each use of real-time remote biometric identification be subject to prior authorization via judicial authority or independent administrative authority of a Member State. We strongly support this need for authorization which is important in ensuring public oversight and democratic accountability around law enforcement use of these technologies. 11",488,Recital 21,recital,"(21)	Each use of a ‘real-time’ remote biometric identification system in publicly accessible spaces for the purpose of law enforcement should be subject to an express and specific authorisation by a judicial authority or by an independent administrative authority of a Member State. Such authorisation should in principle be obtained prior to the use, except in duly justified situations of urgency, that is, situations where the need to use the systems in question is such as to make it effectively and objectively impossible to obtain an authorisation before commencing the use. In such situations of urgency, the use should be restricted to the absolute minimum necessary and be subject to appropriate safeguards and conditions, as determined in national law and specified in the context of each individual urgent use case by the law enforcement authority itself. In addition, the law enforcement authority should in such situations seek to obtain an authorisation as soon as possible, whilst providing the reasons for not having been able to request it earlier.","(21)	Each use of a ‘real-time’ remote biometric identification system in publicly accessibleor onlinespaces for the purpose of law enforcement should be subject to an express and specific authorisation by a judicial authority or by an independent administrative authority of a Member State. Such authorisation should in principle be obtained prior to the use, except in duly justified situations of urgency, that is, situations where the need to use the systems in question is such as to make it effectively and objectively impossible to obtain an authorisation before commencing the use. In such situations of urgency, the use should be restricted to the absolute minimum necessary and be subject to appropriate safeguards and conditions, as determined in national law and specified in the context of each individual urgent use case by the law enforcement authority itself. In addition, the law enforcement authority should in such situations seek to obtain an authorisation as soon as possible, whilst providing the reasons for not having been able to request it earlier.",,0.8865,Expands the scope of real-time remote biometric identification system restrictions to include 'online' spaces in addition to publicly accessible physical spaces.,NOISE,"Microsoft's position focuses on narrowing the list of crimes permitting use of real-time RBI systems and strengthening judicial authorisation requirements, but does not address the extension of scope to online spaces that this amendment introduces."
Facebook Ireland Limited,28666427835-74,0,feedback,hys_feedback,2021-08-06,,"Similar challenges arise with the AI Act’s requirements that high-risk AI providers implement risk management systems. The AI Act says that the risk management system should be a “continuous iterative process,”46 but what is continuous? Every hour? Every week? Every year? Similarly, the provision says that mitigations should be used until the “overall residual risk of the high-risk AI systems is judged acceptable,”47 or that “testing procedures shall be suitable.”48 The use of language like “appropriate,” “acceptable,” or “suitable,” makes sense when regulating an area with extensive, existing best practices or 14",1579,Article 9 – paragraph 2 – introductory part,article,"2.	The risk management system shall consist of a continuous iterative process run throughout the entirelifecycleof a high-risk AI system, requiring regularsystematic updating. It shall comprise the following steps:","2.	The risk management system shall consist of a continuous iterative process run throughout the entirelifetimeof a high-risk AI system, requiring regularreview of the suitability of the risk management process to ensure its continuing effectiveness, and documentation of any decisions and actions taken. It shall comprise the following stepsand all of these steps shall be integrated into already existing risk management procedures relating to the relevant Union sectoral legislation to avoid unnecessary bureaucracy:",,0.886,"Replaces 'lifecycle' with 'lifetime', adds review/documentation requirements, and integrates risk management steps into existing sectoral legislation procedures to reduce bureaucracy.",ALIGNED,"Facebook explicitly raises concern about the vagueness and operational ambiguity of the 'continuous iterative process' requirement, and the amendment responds by clarifying the obligation (replacing 'lifecycle' with 'lifetime', adding review/documentation specificity) and reducing regulatory burden by integrating steps into existing sectoral procedures — both of which address Facebook's concerns about legal uncertainty and unnecessary compliance overhead."
Microsoft Corporation,0801162959-21,5,feedback,hys_feedback,2021-08-06,,"That list of crimes, however, includes a range of lower level, non-violent crimes, including forgery and counterfeiting, for which use of real-time remote biometric identification systems in publicly accessible spaces seems to be disproportionate. We recommend further discussion on this issue and potentially further limiting law enforcement use of such systems to the most serious and violent crimes, for example murder, armed robbery, and kidnapping. • Requiring each individual use of the technology to be subject to prior judicial authorization The Act currently requires each use of real-time remote biometric identification be subject to prior authorization via judicial authority or independent administrative authority of a Member State. We strongly support this need for authorization which is important in ensuring public oversight and democratic accountability around law enforcement use of these technologies. 11",1372,Article 5 – paragraph 3 – introductory part,article,"3.	As regards paragraphs 1, point (d) and 2, each individual use for the purpose of law enforcement of a ‘real-time’ remote biometric identification system in publicly accessible spaces shall be subject to a prior authorisation granted by a judicial authority or by an independent administrative authority of the Member State in which the use is to take place, issued upon a reasoned request and in accordance with the detailed rules of national law referred to in paragraph 4. However, in a duly justified situation of urgency, the use of the system may be commenced without an authorisation and the authorisation may be requested only during or after the use.","3.	As regards paragraphs 1, point (d) and 2, each individual use for the purpose of law enforcement of a ‘real-time’or 'post'remote biometric identification system in publicly accessible spaces shall be subject to a prior authorisation granted by a judicial authority or by an independent administrative authority of the Member State in which the use is to take place, issued upon a reasoned request and in accordance with the detailed rules of national law referred to in paragraph 4. However, in a duly justified situation of urgency, the use of the system may be commenced without an authorisation and the authorisation may be requested only during or after the use.If the prior justification does not comply with the principles of necessity and proportionality, the results obtained by the use of this technology may not be used for law enforcement purposes.",,0.886,Extends the prior authorisation requirement for law enforcement biometric identification to cover both 'real-time' and 'post' remote biometric identification systems in publicly accessible spaces.,ALIGNED,"Microsoft explicitly supports strengthening fundamental rights protections for law enforcement uses of remote biometric identification and advocates for prior judicial authorisation requirements, which aligns with the amendment's expansion of authorisation requirements to cover 'post' as well as 'real-time' systems."
Future of Life Institute (FLI),787064543128-10,0,feedback,hys_feedback,2021-08-06,,"These sandboxes will be critical to supporting European AI innovation, because they allow small start-ups to develop their applications in close cooperation with regulators and without fear of penalties. [8] EDPB-EDPS, Joint Opinion 5/2021 on the proposal for a Regulation of the European Parliament and of the Council laying down harmonised rules on artificial intelligence (Artificial Intelligence Act), June 2021.",726,Recital 72,recital,"(72)	The objectives of the regulatory sandboxes should be to foster AI innovation by establishing a controlled experimentation and testing environment in the development and pre-marketing phase with a view to ensuring compliance of the innovative AI systems with this Regulation and other relevant Union and Member States legislation; to enhance legal certainty for innovators and the competent authorities’ oversight and understanding of the opportunities, emerging risks and the impacts of AI use, and to accelerate access to markets, including by removing barriers for small and medium enterprises (SMEs) and start-ups. To ensure uniform implementation across the Union and economies of scale, it is appropriate to establish common rules for the regulatory sandboxes’ implementation and a framework for cooperation between the relevant authorities involved in the supervision of the sandboxes.This Regulation should provide the legal basis for the use of personal data collected for other purposes for developing certain AI systems in the public interest within the AI regulatory sandbox, in line with Article 6(4) of Regulation (EU) 2016/679, and Article 6 of Regulation (EU) 2018/1725, and without prejudice to Article 4(2) of Directive (EU) 2016/680.Participants in the sandbox should ensure appropriate safeguards and cooperate with the competent authorities, including by following their guidance and acting expeditiously and in good faith to mitigate any high-risks to safety and fundamental rights that may arise during the development and experimentation in the sandbox. The conduct of the participants in the sandbox should be taken into account when competent authorities decide whether to impose an administrative fine under Article 83(2) of Regulation 2016/679 and Article 57 of Directive 2016/680.","(72)	The objectives of the regulatory sandboxes should be to foster AI innovation by establishing a controlled experimentation and testing environment in the development and pre-marketing phase with a view to ensuring compliance of the innovative AI systems with this Regulation and other relevant Union and Member States legislation; to enhance legal certainty for innovators and the competent authorities’ oversight and understanding of the opportunities, emerging risks and the impacts of AI use, and to accelerate access to markets, including by removing barriers for small and medium enterprises (SMEs) and start-ups. To ensure uniform implementation across the Union and economies of scale, it is appropriate to establish common rules for the regulatory sandboxes’ implementation and a framework for cooperation between the relevant authorities involved in the supervision of the sandboxes. Participants in the sandbox should ensure appropriate safeguards and cooperate with the competent authorities, including by following their guidance and acting expeditiously and in good faith to mitigate any high-risks to safety and fundamental rights that may arise during the development and experimentation in the sandbox. The conduct of the participants in the sandbox should be taken into account when competent authorities decide whether to impose an administrative fine under Article 83(2) of Regulation 2016/679 and Article 57 of Directive 2016/680.",Consistent with the deletion of Article 54.,0.8859,"Deletes substantive content from Recital 72 consistent with the deletion of Article 54, effectively removing or reducing the recital's grounding for regulatory sandboxes.",OPPOSING,"FLI explicitly supports regulatory sandboxes as critical to European AI innovation and start-up development, so an amendment that削 削reduces or removes the recital underpinning sandboxes (consistent with deleting Article 54) runs contrary to FLI's position."
Future of Life Institute (FLI),787064543128-10,0,feedback,hys_feedback,2021-08-06,,"These sandboxes will be critical to supporting European AI innovation, because they allow small start-ups to develop their applications in close cooperation with regulators and without fear of penalties. [8] EDPB-EDPS, Joint Opinion 5/2021 on the proposal for a Regulation of the European Parliament and of the Council laying down harmonised rules on artificial intelligence (Artificial Intelligence Act), June 2021.",2292,Article 53 – paragraph 1,article,"1.	AI regulatory sandboxes established by one or more Member States competent authorities or the European Data Protection Supervisor shall provide a controlled environment that facilitates the development, testing and validation of innovative AI systems for a limited time before their placement on the market or putting into service pursuant to a specific plan. This shall take place under the direct supervision and guidance by the competent authorities with a view to ensuring compliance with the requirements of this Regulation and, where relevant, other Union and Member States legislation supervised within the sandbox.","1.	AI regulatory sandboxes established bySMEs, start-ups, enterprises and other innovators,one or more Member States competent authorities or the European Data Protection Supervisor shall provide a controlled environment that facilitates thesafedevelopment, testing and validation of innovative AI systems for a limited time before their placement on the market or putting into service pursuant to a specific plan.For Member States competent authorities or the European Data Protection Supervisor,this shall take place under the direct supervision and guidance by the competent authorities with a view to ensuring compliance with the requirements of this Regulation and, where relevant, other Union and Member States legislation supervised within the sandbox.For SMEs, start-ups, enterprises and other innovators, this shall take place independently from supervising authorities, while following rules and regulations established in close cooperation with Member State competent authorities.",,0.8859,"Expands sandbox establishment rights to SMEs, start-ups, and other innovators (not just competent authorities), adds 'safe' qualifier to development, and limits direct supervision requirement to public authorities only.",ALIGNED,"FLI explicitly highlights sandboxes as critical for small start-ups to develop applications in close cooperation with regulators, directly aligning with the amendment's expansion of sandbox access to SMEs and start-ups beyond purely competent-authority-led structures."
Future of Life Institute (FLI),787064543128-10,0,feedback,hys_feedback,2021-08-06,,"PAGE 8 Under the current proposal, article 62 rightly requires that AI providers report “any serious incident or any malfunctioning of those systems which constitutes a breach of obligations under Union law” to market surveillance authorities of Member States. AI advancement in Europe would however also benefit from a clear overview of safety incidents at a European level, because this will make it easier to analyse what research or regulation may be necessary as trends emerge across the Single Market. Therefore, and in the spirit of the existing Seveso directive on industrial accidents, FLI recommends that Member States also report safety incidents to an EU database (article 60). III. Improve the European environment for innovation a. Empower the European Artificial Intelligence Board to pre-empt new risks Under the current proposal, the European Artificial Intelligence Board acts mainly as a coordinator of regulatory efforts. The Board is tasked with the promotion of cooperation between national supervisory authorities and to assist the European Commission with ensuring uniform application of the law. Instead, a more expansive remit could help boost AI innovation in Europe. FLI supports the recommendation of the European Data Protection Supervisor (EDPS) and the European Data Protection Board (EDPB) that the new AI Board be given “sufficient and appropriate powers” [8]",2654,Article 62 – paragraph 1 – introductory part,article,1.	Providersof high-risk AI systems placed on the Union market shall report anyserious incident oranymalfunctioningof thosesystems which constitutes a breach of obligations under Union law intended to protect fundamental rights to the market surveillance authorities of the Member States where that incident or breach occurred.,"1.	Providersand, where users have identified aserious incident or malfunctioning, including near misses, users of high-risk or general purposesystems which constitutes a breach of obligations under Union law intended to protect fundamental rights, health and safetyto the market surveillance authorities of the Member States where that incident or breach occurred, and to the Commission..","Article 62 (1) in the Commission’s text says that providers must report serious problems to MSAs only after they have established “a causal link” between their AI systems and the incidents, or a reasonable likelihood of one. This allows providers to evade their responsibility by finding explanations that do not include their own AI systems, especially when these are part of a larger system. Article 62 should require that operators report an incident or malfunction whenever an AI system is a part of the system concerned, and not only for serious incidents. This should include near-misses so that other operators can learn from these incidents. This will also have broad societal benefit of helping operators identify and fix problems before a serious",0.8851,"Expands incident reporting obligations by adding users as reporters (for near misses too), extending scope to general purpose systems and health/safety breaches, and requiring reporting to the Commission in addition to national market surveillance authorities.",ALIGNED,"FLI explicitly recommends that serious incident reporting under Article 62 be extended to the European level (invoking the Seveso directive analogy), which directly aligns with the amendment's addition of mandatory reporting to the Commission alongside national authorities."
Microsoft Corporation,0801162959-21,5,feedback,hys_feedback,2021-08-06,,"Greater clarity on expectations for assessing rights-based risks in Annex III would be particularly helpful. Article 14: Ensure human oversight obligations are feasible Currently, the AI Act addresses the issue of effective human oversight by placing design requirements on the “provider” of an AI system with a view to minimizing risks to “health, safety and fundamental rights.” This is an important goal, but one that cannot be fully realized by system design alone. As such, we make the following recommendations: 5 See Recitals 1, 13, 27, and 43. 8",1815,Article 14 – paragraph 2,article,"2.	Human oversight shall aim at preventing or minimising the risks to health, safety or fundamental rights that may emerge when a high-risk AI system is used in accordance with its intended purpose or under conditions of reasonably foreseeable misuse,in particular when suchrisks persist notwithstanding the application of other requirements set out in this Chapter.","2.	Human oversight shall aim at preventing or minimising the risks to health, safety or fundamental rights that may emerge when a high-risk AI system is used in accordance with its intended purpose or under conditions of reasonably foreseeable misuse,provided that thoserisks, if theypersist notwithstanding the application of other requirements set out in this Chapter, do not result in a requirement for the high-risk AI system to be recalled or withdrawn.",,0.8849,The amendment narrows the human oversight obligation by adding a condition that risks persisting after other requirements are met should not trigger a recall or withdrawal of the high-risk AI system.,ALIGNED,"Microsoft explicitly calls for human oversight obligations to be ""feasible"" and recommends revising Article 14 to better define and limit expectations, which aligns with the amendment's intent to cap the consequences of residual risks by preventing recall/withdrawal requirements."
