organisation,tr_id,meeting_count,source_kind,source_type,source_date,source_commissioner,source_text,article_type,article_number,article_title,article_text,cosine_score,label,reasoning
Microsoft Corporation ,0801162959-21,0,feedback,hys_feedback,2020-09-10,,"This standard could include, for example, the following requirements: • Envision the full range of harms that any new AI system might impose on individuals and society both at the outset and throughout the product development lifecycle, and take appropriate mitigation steps; • Provide appropriate training for those involved in the design, development, testing, and marketing of the AI system, and to assign specific individuals or groups within the company with responsibility for overseeing implementation and compliance; • Adopt transparency obligations with customers, users, and other affected stakeholders to inform them about risks inherent in the use of the relevant AI system as well as the systems capabilities and limitations; and • Adopt an escalation process through which employees and others can raise concerns and seek guidance on the company’s compliance with its policies. Deployers might have similar governance obligations, including for example a requirement to take necessary steps to avoid deployments of the AI system that could pose certain risks of harm. In many cases, these steps may be specific to the particular use scenario and/or sector at issue (we discuss these points further in our AI White Paper response). Similarly, public authorities should be encouraged to develop guidance on how best to achieve responsible governance when AI is used. 2",article,16,,"article 16
Obligations of providers of high-risk AI systems Providers of high-risk AI systems shall: (a)ensure that their high-risk AI systems are compliant with the requirements set out in Chapter 2 of this Title; (b)have a quality management system in place which complies with Article 17; (c)draw-up the technical documentation of the high-risk AI system; (d)when under their control, keep the logs automatically generated by their high-risk AI systems; (e)ensure that the high-risk AI system undergoes the relevant conformity assessment procedure, prior to its placing on the market or putting into service; (f)comply with the registration obligations referred to in Article 51; (g)take the necessary corrective actions, if the high-risk AI system is not in conformity with the requirements set out in Chapter 2 of this Title; (h)inform the national competent authorities of the Member States in which they made the AI system available or put it into service and, where applicable, the notified body of the non-compliance and of any corrective actions taken; (i)to affix the CE marking to their high-risk AI systems to indicate the conformity with this Regulation in accordance with Article 49; (j)upon request of a national competent authority, demonstrate the conformity of the high-risk AI system with the requirements set out in Chapter 2 of this Title.",0.8573,ALIGNED,"Microsoft's pre-proposal text advocated for mandatory obligations on AI providers covering harm mitigation, training, responsibility assignment, and transparency — all of which are reflected in Article 16's enumerated obligations on providers of high-risk AI systems, including quality management, technical documentation, conformity assessment, and corrective actions."
Mastercard,58204758673-16,0,feedback,hys_feedback,2020-09-10,,"Whereas we support the idea in principle that the introduction of new compulsory requirements should be limited to high-risk applications, this is conditional on key aspects that are not yet clearly delineated, such as the test to determine if an application is “high-risk”, how and when an application will be assessed, and a clear definition of AI. We believe that the high-risk criteria outlined in the White Paper do not allow for the necessary flexibility for market actors and society to benefit from AI without producing onerous requirements. The qualification of certain specific sectors as high-risk does not consider the fact that sectors are constantly evolving and that AI applications may be used across sectors. The qualification of certain uses as “high-risk as such”, e.g. the use of AI for recruitment, is too rigid and ignores the potential benefits the AI application may bring as well as any available measures to mitigate risk.",recital,37,,"recital 37
Another area in which the use of AI systems deserves special consideration is the access to and enjoyment of certain essential private and public services and benefits necessary for people to fully participate in society or to improve one’s standard of living. In particular, AI systems used to evaluate the credit score or creditworthiness of natural persons should be classified as high-risk AI systems, since they determine those persons’ access to financial resources or essential services such as housing, electricity, and telecommunication services. AI systems used for this purpose may lead to discrimination of persons or groups and perpetuate historical patterns of discrimination, for example based on racial or ethnic origins, disabilities, age, sexual orientation, or create new forms of discriminatory impacts. Considering the very limited scale of the impact and the available alternatives on the market, it is appropriate to exempt AI systems for the purpose of creditworthiness assessment and credit scoring when put into service by small-scale providers for their own use. Natural persons applying for or receiving public assistance benefits and services from public authorities are typically dependent on those benefits and services and in a vulnerable position in relation to the responsible authorities. If AI systems are used for determining whether such benefits and services should be denied, reduced, revoked or reclaimed by authorities, they may have a significant impact on persons’ livelihood and may infringe their fundamental rights, such as the right to social protection, non-discrimination, human dignity or an effective remedy. Those systems should therefore be classified as high-risk. Nonetheless, this Regulation should not hamper the development and use of innovative approaches in the public administration, which would stand to benefit from a wider use of compliant and safe AI systems, provided that those systems do not entail a high risk to legal and natural persons. Finally, AI systems used to dispatch or establish priority in the dispatching of emergency first response services should also be classified as high-risk since they make decisions in very critical situations for the life and health of persons and their property.",0.8573,OPPOSING,"Mastercard argues that the high-risk classification criteria lack flexibility and are overly broad, whereas Recital 37 specifically classifies AI systems used for credit scoring and creditworthiness as high-risk — directly reflecting the kind of sector-specific, prescriptive high-risk designation that Mastercard opposes as producing ""onerous requirements."""
Bundesverband der Deutschen Industrie,1771817758-48,0,feedback,hys_feedback,2020-09-10,,"In this respect, it is questionable whether supposedly more trustworthy applica- tions from Europe can compete better on the international market. The Commission should use concrete positive examples to show how high- risk AI applications can already be addressed by the existing legislative framework The public debate often focuses on AI applications that are not wanted by European society or the European economy, such as applications that can detect the sexual orientation of people or applications used in other regions of the world for systematic surveillance of citizens. Such examples stir up fears in society and increase mistrust in AI. However, not everyone knows that such applications are generally not compatible with the existing Euro- pean legal framework. Therefore, broader knowledge of the existing applica- tions and legal limits of AI is necessary to counteract fears and objections of society. The Commission should use concrete examples to show that partic- ularly critical AI applications can already be adequately addressed by the ex- isting legal framework. Furthermore, this could also reveal concrete gaps in law enforcement that need to be closed as part of the Commission's regulatory efforts. Page 4 of 12 www.bdi.eu",article,64,,"article 64
Access to data and documentation 1.Access to data and documentation in the context of their activities, the market surveillance authorities shall be granted full access to the training, validation and testing datasets used by the provider, including through application programming interfaces (‘API’) or other appropriate technical means and tools enabling remote access. 2.Where necessary to assess the conformity of the high-risk AI system with the requirements set out in Title III, Chapter 2 and upon a reasoned request, the market surveillance authorities shall be granted access to the source code of the AI system. 3.National public authorities or bodies which supervise or enforce the respect of obligations under Union law protecting fundamental rights in relation to the use of high-risk AI systems referred to in Annex III shall have the power to request and access any documentation created or maintained under this Regulation when access to that documentation is necessary for the fulfilment of the competences under their mandate within the limits of their jurisdiction. The relevant public authority or body shall inform the market surveillance authority of the Member State concerned of any such request. 4.By 3 months after the entering into force of this Regulation, each Member State shall identify the public authorities or bodies referred to in paragraph 3 and make a list publicly available on the website of the national supervisory authority. Member States shall notify the list to the Commission and all other Member States and keep the list up to date. 5.Where the documentation referred to in paragraph 3 is insufficient to ascertain whether a breach of obligations under Union law intended to protect fundamental rights has occurred, the public authority or body referred to paragraph 3 may make a reasoned request to the market surveillance authority to organise testing of the high-risk AI system through technical means. The market surveillance authority shall organise the testing with the close involvement of the requesting public authority or body within reasonable time following the request. 6.Any information and documentation obtained by the national public authorities or bodies referred to in paragraph 3 pursuant to the provisions of this Article shall be treated in compliance with the confidentiality obligations set out in Article 70.",0.8573,NOISE,"Both the source and the article relate to AI regulation and high-risk AI systems, but the organisation's pre-proposal text focuses on questioning whether lack of trust hinders AI uptake and how existing frameworks address high-risk AI, while Article 64 specifically concerns market surveillance authorities' technical access to AI data and source code — there is only topical overlap with no clear alignment or opposition between the positions."
BEUC - The European Consumers Voice,9505781573-45,0,feedback,hys_feedback,2020-09-09,,"For example, more attention should be paid to the risks arising from the use of biometric data of vulnerable subjects, such as children. A recent study took the processing of children’s biometric data as paradigmatic example underlying that ‘that closer attention must be paid to the actual social contexts in which data relating to children comes to affect their lives through AI practices’23. In this sense, we emphasise that all biometric systems and all collections of biometric data, regardless of being for identification or for authentication purposes, can lead to problematic outcomes. We would therefore recommend to apply heightened safeguards also to seemingly less intrusive biometric techniques. 22 In fact, there are simple biometric identification systems which compare individual physical or behavioural characteristics with the information stored in the system in order to find a match for the purpose of identifying the person. Such systems – which seem to be out of the scope of the White Paper - differ from those which embed machine learning techniques which – in addition to data collection and combination - allow the system to learn, react and adapt its endeavours on the basis of its findings. These latter technologies are defined in the White Paper as ‘remote biometric identification’",recital,20,,"recital 20
In order to ensure that those systems are used in a responsible and proportionate manner, it is also important to establish that, in each of those three exhaustively listed and narrowly defined situations, certain elements should be taken into account, in particular as regards the nature of the situation giving rise to the request and the consequences of the use for the rights and freedoms of all persons concerned and the safeguards and conditions provided for with the use. In addition, the use of ‘real-time’ remote biometric identification systems in publicly accessible spaces for the purpose of law enforcement should be subject to appropriate limits in time and space, having regard in particular to the evidence or indications regarding the threats, the victims or perpetrator. The reference database of persons should be appropriate for each use case in each of the three situations mentioned above.",0.8572,ALIGNED,"Both the BEUC pre-proposal text and Recital 20 share the position that the use of biometric/remote biometric identification systems in public spaces must be subject to careful scrutiny, proportionality constraints, and safeguards — with the organisation emphasising risks and the need for responsible use, and the article establishing limits in time, space, and conditions for law enforcement use of such systems."
Gesamtverband der Deutschen Versicherungswirtschaft e.V.,6437280268-55,4,feedback,hys_feedback,2020-09-10,,"forced through voluntary and/or non-legislative instruments as far as pos- sible. The principles which constitute ethical use of AI as outlined by the HLEG are already subject to existing legislation (e.g. anti-discrimination law and transparency obligations in the GDPR). That is why the EU- Commission should primarily focus on a soft law approach that promotes industry initiatives. Recent years have shown that many organisations and industries are aware of the importance of ethical AI and have thus intro- duced their own ethical codes that are tailored to the specific characteris- tics of that sector. Additional industry-specific initiatives are to be ex- pected. For this reason, option 1 appears preferable. In order to enhance con- sumer confidence, undertakings can also commit themselves to comply with further voluntary requirements. Voluntary certifications have traditionally proven to be effective means of ensuring high and transparent standards (e.g. in the area of IT security). They enable customers to easily identify trustworthy products and allow the businesses to display the quality of their products and to further pro- mote them. Many companies would likely voluntarily opt for certifying their AI applications to stay ahead of the competition and to ensure compliance with current standards and regulation and ethical principles",article,69,,"article 69
Codes of conduct 1.The Commission and the Member States shall encourage and facilitate the drawing up of codes of conduct intended to foster the voluntary application to AI systems other than high-risk AI systems of the requirements set out in Title III, Chapter 2 on the basis of technical specifications and solutions that are appropriate means of ensuring compliance with such requirements in light of the intended purpose of the systems. 2.The Commission and the Board shall encourage and facilitate the drawing up of codes of conduct intended to foster the voluntary application to AI systems of requirements related for example to environmental sustainability, accessibility for persons with a disability, stakeholders participation in the design and development of the AI systems and diversity of development teams on the basis of clear objectives and key performance indicators to measure the achievement of those objectives. 3.Codes of conduct may be drawn up by individual providers of AI systems or by organisations representing them or by both, including with the involvement of users and any interested stakeholders and their representative organisations. Codes of conduct may cover one or more AI systems taking into account the similarity of the intended purpose of the relevant systems. 4.The Commission and the Board shall take into account the specific interests and needs of the small-scale providers and start-ups when encouraging and facilitating the drawing up of codes of conduct. TITLE X CONFIDENTIALITY AND PENALTIES",0.8572,ALIGNED,"The organisation explicitly advocates for a soft law approach promoting voluntary and non-legislative instruments and industry self-regulatory initiatives, which directly aligns with Article 69's promotion of voluntary codes of conduct for AI systems beyond the mandatory high-risk category."
Microsoft Corporation ,0801162959-21,0,feedback,hys_feedback,2020-09-10,,"We continue to support that approach. Given the many nuances raised by the various scenarios in which AI can be deployed, we believe the Commission can most effectively achieve its goals through a mix of binding requirements for scenarios that pose the greatest risk, combined with soft-law approaches (e.g., codes of conduct, self- regulatory mechanisms) for lower-risk scenarios that incentivize the use of governance mechanisms and tools for promoting trustworthy AI. Microsoft addresses these issues primarily from the perspective of a developer and supplier of AI solutions that customers across the public and private sectors use for an almost unlimited range of purposes. These various uses may raise very different risks. In light of this reality, we urge the Commission give careful thought to which obligations are most appropriately placed on developers of multi-purpose AI solutions, and which are most appropriately placed on deployers. Microsoft supports Option #4 of the IIA—namely, a combination of Options 1 through 3 that considers the different levels and types of risks that different AI scenarios may raise. This combination of measures is vital to ensure that the EU’s overall regulatory approach to AI is meaningful, balanced, and effective. It bears repeating at 1",article,69,,"article 69
Codes of conduct 1.The Commission and the Member States shall encourage and facilitate the drawing up of codes of conduct intended to foster the voluntary application to AI systems other than high-risk AI systems of the requirements set out in Title III, Chapter 2 on the basis of technical specifications and solutions that are appropriate means of ensuring compliance with such requirements in light of the intended purpose of the systems. 2.The Commission and the Board shall encourage and facilitate the drawing up of codes of conduct intended to foster the voluntary application to AI systems of requirements related for example to environmental sustainability, accessibility for persons with a disability, stakeholders participation in the design and development of the AI systems and diversity of development teams on the basis of clear objectives and key performance indicators to measure the achievement of those objectives. 3.Codes of conduct may be drawn up by individual providers of AI systems or by organisations representing them or by both, including with the involvement of users and any interested stakeholders and their representative organisations. Codes of conduct may cover one or more AI systems taking into account the similarity of the intended purpose of the relevant systems. 4.The Commission and the Board shall take into account the specific interests and needs of the small-scale providers and start-ups when encouraging and facilitating the drawing up of codes of conduct. TITLE X CONFIDENTIALITY AND PENALTIES",0.8571,ALIGNED,"Microsoft explicitly advocates for soft-law approaches such as codes of conduct and self-regulatory mechanisms for lower-risk AI scenarios, which directly aligns with Article 69's provision encouraging voluntary codes of conduct for non-high-risk AI systems."
Fair Trials,302540016347-29,0,feedback,hys_feedback,2020-09-10,,"In addition, AI systems’ decisions, or decisions they have influenced, also need to be contestable by criminal defendants. This is so that they can not only challenge the outcomes of the AI systems’ calculations and analyses, but also scrutinise the legality of their use. In other words, being able to challenge AI systems in criminal proceedings is not only a procedural fairness requirement for defendants, it is also a means by which legal standards governing AI systems and their use can be enforced. One of the major issues preventing the sufficient contestability of AI systems in criminal proceedings is the lack of notification. If an individual is not notified that they have been subject to an automated decision by an AI system, they will not have the ability to challenge that decision, or the information that the decision was based on. There must be a requirement for individuals to be notified, not just for “purely automated” decisions, but whenever there has been an automated decision-making system involved, assistive or otherwise, that has or may have impacted a criminal justice decision. In order to ensure the necessary transparency and notification in relation to AI systems in criminal justice, regulation is needed, so that individuals are notified of AI decisions, and the decisions can be understood, scrutinised and challenged by their primary users, suspects and accused persons, as well as the general public",recital,70,,"recital 70
Certain AI systems intended to interact with natural persons or to generate content may pose specific risks of impersonation or deception irrespective of whether they qualify as high-risk or not. In certain circumstances, the use of these systems should therefore be subject to specific transparency obligations without prejudice to the requirements and obligations for high-risk AI systems. In particular, natural persons should be notified that they are interacting with an AI system, unless this is obvious from the circumstances and the context of use. Moreover, natural persons should be notified when they are exposed to an emotion recognition system or a biometric categorisation system. Such information and notifications should be provided in accessible formats for persons with disabilities. Further, users, who use an AI system to generate or manipulate image, audio or video content that appreciably resembles existing persons, places or events and would falsely appear to a person to be authentic, should disclose that the content has been artificially created or manipulated by labelling the artificial intelligence output accordingly and disclosing its artificial origin.",0.8571,NOISE,"While both the source and the article relate to AI systems, the source focuses on contestability of AI decisions in criminal proceedings, whereas Recital 70 addresses transparency obligations around impersonation, deception, and notification requirements for interactions with AI — there is only topical overlap with no alignment or conflict on the specific positions advanced."
Information Technology Industry Council ITI,061601915428-87,0,feedback,hys_feedback,2020-09-10,,"as frame concepts and recommended practices to develop trustworthy AI applications that consider privacy, cybersecurity, safety, reliability, and interoperability through processes of voluntary, global and industry-led standardisation. When it comes to regulation, we believe that new legislation should be considered only where legislative gaps are clearly identified. For this reason, we caution against horizontal regulatory solutions, as proposed in Sub-option 3c, which would result in overly stringent requirements and ultimately slow down the adoption of AI and possibly hinder innovation. At the same time, we welcome the consideration of risk as the key factor in defining the scope as proposed by Sub-options 3a and 3b. However, we urge the Commission to carefully consider the definition of high-risk considering use case, complexity of the AI system, probability of worst-case occurrence, irreversibility, scope of harm in worst case scenario and sector. *** 11",recital,31,,"recital 31
The classification of an AI system as high-risk pursuant to this Regulation should not necessarily mean that the product whose safety component is the AI system, or the AI system itself as a product, is considered ‘high-risk’ under the criteria established in the relevant Union harmonisation legislation that applies to the product. This is notably the case for Regulation (EU) 2017/745 of the European Parliament and of the Council and Regulation (EU) 2017/746 of the European Parliament and of the Council , where a third-party conformity assessment is provided for medium-risk and high-risk products.",0.8571,NOISE,"While both the source text and Recital 31 touch on AI conformity assessment and risk classification, the organisation's pre-proposal text argues against stringent horizontal regulation and ex-ante requirements, whereas Recital 31 merely clarifies the distinction between an AI system being classified as high-risk under the AI Regulation versus existing Union harmonisation legislation — there is no direct alignment or opposition between the two positions, only a topical overlap around conformity assessment and risk classification."
BEUC - The European Consumers Voice,9505781573-45,0,feedback,hys_feedback,2020-09-09,,"potentially unintended — consequences the processes have for consumers’ everyday lives20. • The Commission should also evaluate the possibility of imposing the use of mandatory standards for technical design, logging, documentation and description of ADM systems (transparency by design)21. 3.8.3. Enforcement • Enforcement authorities should have the necessary powers (e.g. right to obtain information, the right to inspect and access) so that they can scrutinise and evaluate AI and ADM systems and, in case of law infringements, stop illegal practices, impose remedies and award damages where relevant as well as impose penalties. • Authorities must also be capable of conducting ex post checks on relevant ADM systems at any time. It must be possible, in particular for the competent supervisory authority, to review and verify the tests performed by the operators. • As an ultima ratio measure, authorities should be able to ban the use of certain AI or ADM systems upfront. 3.8.4. Remedies • We also recall the importance of ensuring that effective remedies for consumers are easily available. Consumers should have the concrete possibility to interact with a human able to handle and explain the processing activities of the system and its decisions. It should be guaranteed a minimum level of human oversights so that the system’s decisions can be checked, timely contested and corrected. 4",article,14,,"article 14
Human oversight 1.High-risk AI systems shall be designed and developed in such a way, including with appropriate human-machine interface tools, that they can be effectively overseen by natural persons during the period in which the AI system is in use. 2.Human oversight shall aim at preventing or minimising the risks to health, safety or fundamental rights that may emerge when a high-risk AI system is used in accordance with its intended purpose or under conditions of reasonably foreseeable misuse, in particular when such risks persist notwithstanding the application of other requirements set out in this Chapter. 3.Human oversight shall be ensured through either one or all of the following measures: (a)identified and built, when technically feasible, into the high-risk AI system by the provider before it is placed on the market or put into service; (b)identified by the provider before placing the high-risk AI system on the market or putting it into service and that are appropriate to be implemented by the user. 4.The measures referred to in paragraph 3 shall enable the individuals to whom human oversight is assigned to do the following, as appropriate to the circumstances: (a)fully understand the capacities and limitations of the high-risk AI system and be able to duly monitor its operation, so that signs of anomalies, dysfunctions and unexpected performance can be detected and addressed as soon as possible; (b)remain aware of the possible tendency of automatically relying or over-relying on the output produced by a high-risk AI system (‘automation bias’), in particular for high-risk AI systems used to provide information or recommendations for decisions to be taken by natural persons; (c)be able to correctly interpret the high-risk AI system’s output, taking into account in particular the characteristics of the system and the interpretation tools and methods available; (d)be able to decide, in any particular situation, not to use the high-risk AI system or otherwise disregard, override or reverse the output of the high-risk AI system; (e)be able to intervene on the operation of the high-risk AI system or interrupt the system through a “stop” button or a similar procedure. 5.For high-risk AI systems referred to in point 1(a) of Annex III, the measures referred to in paragraph 3 shall be such as to ensure that, in addition, no action or decision is taken by the user on the basis of the identification resulting from the system unless this has been verified and confirmed by at least two natural persons.",0.857,ALIGNED,"BEUC's pre-proposal text explicitly calls for a guaranteed minimum level of human oversight so that AI/ADM system decisions can be checked, contested, and corrected, which directly aligns with Article 14's requirement that high-risk AI systems be designed to enable effective human oversight to prevent or minimise risks to health, safety, and fundamental rights."
Information Technology Industry Council ITI,061601915428-87,0,feedback,hys_feedback,2020-09-10,,"and services that do not have a physical shape on which to affix a label; therefore, flexibility should be considered in those scenarios. As a general matter, we strongly encourage the Commission to adopt international best practices for e-labelling in allowing the display of regulatory and other required information via electronic means. Additionally, voluntary labels should be based on international standards and recognised by all EU Member States. Option 3: EU legislative instrument establishing mandatory requirements for all or certain types of AI applications The IIA mentions that, under option 3, an EU legislative framework would “establish certain mandatory requirements on issues such as training data, record-keeping about datasets and algorithms, information to be provided, robustness and accuracy and human oversight.” (page 5) Before commenting on the sub-options proposed by the IIA, we would like to provide additional comments on these aspects, as we believe setting mandatory legal requirements may in some cases hinder the development of beneficial AI applications. In general, the potential burden linked to these requirements calls for a risk-based approach to regulatory requirements. o Training data We fully acknowledge the importance of robust training data sets in the development and deployment of AI",article,81,,"article 81
Amendment to Regulation (EU) 2018/1139 Regulation (EU) 2018/1139 is amended as follows: (1) In Article 17, the following paragraph is added: “3. Without prejudice to paragraph 2, when adopting implementing acts pursuant to paragraph 1 concerning Artificial Intelligence systems which are safety components in the meaning of Regulation (EU) YYY/XX [on Artificial Intelligence] of the European Parliament and of the Council*, the requirements set out in Title III, Chapter 2 of that Regulation shall be taken into account. __________ * Regulation (EU) YYY/XX [on Artificial Intelligence] (OJ …).” (2) In Article 19, the following paragraph is added: “4. When adopting delegated acts pursuant to paragraphs 1 and 2 concerning Artificial Intelligence systems which are safety components in the meaning of Regulation (EU) YYY/XX [on Artificial Intelligence], the requirements set out in Title III, Chapter 2 of that Regulation shall be taken into account.” (3) In Article 43, the following paragraph is added: “4. When adopting implementing acts pursuant to paragraph 1 concerning Artificial Intelligence systems which are safety components in the meaning of Regulation (EU) YYY/XX [on Artificial Intelligence], the requirements set out in Title III, Chapter 2 of that Regulation shall be taken into account.” (4) In Article 47, the following paragraph is added: “3. When adopting delegated acts pursuant to paragraphs 1 and 2 concerning Artificial Intelligence systems which are safety components in the meaning of Regulation (EU) YYY/XX [on Artificial Intelligence], the requirements set out in Title III, Chapter 2 of that Regulation shall be taken into account.” (5) In Article 57, the following paragraph is added: “When adopting those implementing acts concerning Artificial Intelligence systems which are safety components in the meaning of Regulation (EU) YYY/XX [on Artificial Intelligence], the requirements set out in Title III, Chapter 2 of that Regulation shall be taken into account.” (6) In Article 58, the following paragraph is added: “3. When adopting delegated acts pursuant to paragraphs 1 and 2 concerning Artificial Intelligence systems which are safety components in the meaning of Regulation (EU) YYY/XX [on Artificial Intelligence] , the requirements set out in Title III, Chapter 2 of that Regulation shall be taken into account.”.",0.857,NOISE,"The organisation's pre-proposal text focuses on voluntary labelling, e-labelling best practices, and international standards for AI, while Article 81 concerns amendments to aviation safety regulation (EU) 2018/1139 regarding AI systems as safety components — both touch on AI regulation broadly, but there is no meaningful alignment or opposition between the specific positions expressed."
Center for Data Innovation,367682319221-26,3,feedback,hys_feedback,2020-09-10,,"Option 4: A Combination of Options 1, 2, and 3 This option would combine any of the prior options, taking into account the various levels of risk that could be generated by a particular AI application. FEEDBACK ON PROPOSED OPTIONS The Commission Has Failed to Make the Case for AI-Specific Regulations As the Commission itself acknowledges in the roadmap, the potential harms posed by AI are not “new or otherwise necessarily tied to AI only.” However, the Commission argues that action is warranted because EU regulators may be unable to effectively enforce rules on the protection of fundamental rights, product safety, and liability. With respect to the protection of fundamental human rights, the Commission says that AI systems might make decisions with discriminatory outcomes which are difficult to perceive or challenge without documentation of how the system works. However, this same problem applies to discriminatory actions and decisions taken by humans which can similarly occur through opaque and datainnovation.org 2",article,54,,"article 54
Further processing of personal data for developing certain AI systems in the public interest in the AI regulatory sandbox 1.In the AI regulatory sandbox personal data lawfully collected for other purposes shall be processed for the purposes of developing and testing certain innovative AI systems in the sandbox under the following conditions: (a)the innovative AI systems shall be developed for safeguarding substantial public interest in one or more of the following areas: (i)the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security, under the control and responsibility of the competent authorities. The processing shall be based on Member State or Union law; (ii)public safety and public health, including disease prevention, control and treatment; (iii)a high level of protection and improvement of the quality of the environment; (b)the data processed are necessary for complying with one or more of the requirements referred to in Title III, Chapter 2 where those requirements cannot be effectively fulfilled by processing anonymised, synthetic or other non-personal data; (c)there are effective monitoring mechanisms to identify if any high risks to the fundamental rights of the data subjects may arise during the sandbox experimentation as well as response mechanism to promptly mitigate those risks and, where necessary, stop the processing; (d)any personal data to be processed in the context of the sandbox are in a functionally separate, isolated and protected data processing environment under the control of the participants and only authorised persons have access to that data; (e)any personal data processed are not be transmitted, transferred or otherwise accessed by other parties; (f)any processing of personal data in the context of the sandbox do not lead to measures or decisions affecting the data subjects; (g)any personal data processed in the context of the sandbox are deleted once the participation in the sandbox has terminated or the personal data has reached the end of its retention period; (h)the logs of the processing of personal data in the context of the sandbox are kept for the duration of the participation in the sandbox and 1 year after its termination, solely for the purpose of and only as long as necessary for fulfilling accountability and documentation obligations under this Article or other application Union or Member States legislation; (i)complete and detailed description of the process and rationale behind the training, testing and validation of the AI system is kept together with the testing results as part of the technical documentation in Annex IV; (j)a short summary of the AI project developed in the sandbox, its objectives and expected results published on the website of the competent authorities. 2.Paragraph 1 is without prejudice to Union or Member States legislation excluding processing for other purposes than those explicitly mentioned in that legislation.",0.8569,NOISE,"The source text critiques the Commission's justification for AI-specific regulations, while Article 54 addresses personal data processing rules within AI regulatory sandboxes — both relate to AI governance broadly, but there is no substantive alignment or opposition between the organisation's argument against AI-specific regulation and the article's technical provisions on sandbox data processing."
BEUC - The European Consumers Voice,9505781573-45,0,feedback,hys_feedback,2020-09-09,,"The Guidelines, however, are not legally binding. In light of this, and in line with the Commission President’s political guidelines, the White Paper recognises the need for a European regulatory framework which would build trust among consumers and businesses, and therefore speed up the uptake of the concerned technologies. The Commission’s White Paper sets out a first outline of a possible new regulatory framework which is based on a risk-based approach. BEUC agrees that a risk-based approach is appropriate. However, we are concerned that an approach which, as envisaged by the Commission, focuses solely on high risk applications would significantly reduce the scope of the new rules and ultimately inadequately protect consumers. While AI applications are already subject to European legislation inter alia on data protection, privacy, non-discrimination, consumer protection, product safety and liability, the existing regulatory framework is not fit for purpose to address the risks posed by AI. Therefore additional measures are needed3. Consumers expect effective protection and respect of their rights whether or not a product or service relies on AI. Recent developments following the COVID19 pandemic have brought AI to the spotlight once again, highlighting its potential to improve health treatments for example",article,69,,"article 69
Codes of conduct 1.The Commission and the Member States shall encourage and facilitate the drawing up of codes of conduct intended to foster the voluntary application to AI systems other than high-risk AI systems of the requirements set out in Title III, Chapter 2 on the basis of technical specifications and solutions that are appropriate means of ensuring compliance with such requirements in light of the intended purpose of the systems. 2.The Commission and the Board shall encourage and facilitate the drawing up of codes of conduct intended to foster the voluntary application to AI systems of requirements related for example to environmental sustainability, accessibility for persons with a disability, stakeholders participation in the design and development of the AI systems and diversity of development teams on the basis of clear objectives and key performance indicators to measure the achievement of those objectives. 3.Codes of conduct may be drawn up by individual providers of AI systems or by organisations representing them or by both, including with the involvement of users and any interested stakeholders and their representative organisations. Codes of conduct may cover one or more AI systems taking into account the similarity of the intended purpose of the relevant systems. 4.The Commission and the Board shall take into account the specific interests and needs of the small-scale providers and start-ups when encouraging and facilitating the drawing up of codes of conduct. TITLE X CONFIDENTIALITY AND PENALTIES",0.8569,OPPOSING,"BEUC explicitly supports a legally binding regulatory framework based on a risk-based approach to build consumer trust, whereas Article 69 promotes voluntary codes of conduct for non-high-risk AI systems, which falls short of the mandatory regulatory framework BEUC advocates for."
