amendment_number,document_id,target_element,authors,diff_type,diff_summary,justification,themes_ai,themes_regex
220,ITRE-AM-746920,Article 3 – paragraph 1 – point 1,Ignazio Corrao,modification,"CHANGED: 'productandits remote' -> 'product itsancillary services, includingremote' | CHANGED: 'solutions,includingsoftware' -> 'solutions,andsoftware'",,scope_and_product_coverage,scope_and_product_coverage
221,ITRE-AM-746920,Article 3 – paragraph 1 – point 1,Evžen Tošenovský,modification,"CHANGED: 'productand its remote data processing solutions,including' -> 'product including'",,scope_and_product_coverage,scope_and_product_coverage
222,ITRE-AM-746920,Article 3 – paragraph 1 – point 1,Bart Groothuis,modification,"CHANGED: 'productand its remote data processing solutions,' -> 'product,'",To avoid overlap with NIS2 (remote data processing).,scope_and_product_coverage; interface_with_sectoral_legislation,scope_and_product_coverage; interface_with_sectoral_legislation
223,ITRE-AM-746920,Article 3 – paragraph 1 – point 1 a (new),Evžen Tošenovský,insertion,NEW: (1a)‘consumer product with digital elements’ means any product with digital elements’ to be placed on the market with default generic security configuration;,,scope_and_product_coverage,scope_and_product_coverage
224,ITRE-AM-746920,Article 3 – paragraph 1 – point 1 b (new),Evžen Tošenovský,insertion,NEW: (1b)‘business-to-business product with digital elements’ means any product with digital elements’ to be placed on the market with individual security configuration in accordance with contractual arrangements;,,scope_and_product_coverage,scope_and_product_coverage
225,ITRE-AM-746920,Article 3 – paragraph 1 – point 2,Evžen Tošenovský,modification,"CHANGED: 'any data processingat a distancefor' -> 'anyremotedata processing for' | CHANGED: 'bythe manufacturer or under' -> 'byor forthe manufacturer, andis critical for' | CHANGED: 'responsibility' -> 'fundamental functions' | REMOVED: 'manufacturer, andthe absence of which would preventthe' | CHANGED: 'elementsfrom performing one of its functions;' -> 'elements;'",,scope_and_product_coverage,scope_and_product_coverage
226,ITRE-AM-746920,Article 3 – paragraph 1 – point 3,Evžen Tošenovský,deletion,DELETED: (3)‘critical product with digital elements’ means a product with digital elements that presents a cybersecurity risk in accordance with the criteria laid down in Article 6(2) and whose core functionality is set out in Annex III;,,scope_and_product_coverage; conformity_assessment_and_third_party_verification,scope_and_product_coverage; conformity_assessment_and_third_party_verification
227,ITRE-AM-746920,Article 3 – paragraph 1 – point 4,Evžen Tošenovský,deletion,DELETED: (4)‘highly critical product with digital elements’ means a product with digital elements that presents a cybersecurity risk in accordance with the criteria laid down in Article 6(5);,,scope_and_product_coverage; conformity_assessment_and_third_party_verification,scope_and_product_coverage; conformity_assessment_and_third_party_verification
228,ITRE-AM-746920,Article 3 – paragraph 1 – point 4 a (new),Henna Virkkunen; Sara Skyttedal; Ivan Štefanec; Tomas Tobé; Adam Jarubas,insertion,"NEW: (4a)‘cybersecurity’ means cybersecurity as defined in Article 2, point (1), of Regulation (EU) 2019/881;",Reference to and alignment with the definition of cybersecurity found in the Cybersecurity Act.,interface_with_sectoral_legislation,
229,ITRE-AM-746920,Article 3 – paragraph 1 – point 6,Evžen Tošenovský,modification,"CHANGED: 'code;' -> 'code, with exception of software relating to internet websites;'",,scope_and_product_coverage,
230,ITRE-AM-746920,Article 3 – paragraph 1 – point 11,Matteo Gazzini; Paolo Borchia; Isabella Tovaglieri; Elena Lizzi; Matteo Adinolfi,modification,"CHANGED: 'interfaces,wiresor radio waves;' -> 'interfacesorwires.'",,scope_and_product_coverage,
231,ITRE-AM-746920,Article 3 – paragraph 1 – point 16 a (new),Evžen Tošenovský,insertion,"NEW: (16a)‘micro, small and medium-sized enterprises’ or ‘SMEs’ means micro, small and medium-sized enterprises as defined in the Annex to Commission Recommendation 2003/361/EC;",,sme_and_proportionality,sme_and_proportionality
232,ITRE-AM-746920,Article 3 – paragraph 1 – point 18,Ignazio Corrao,modification,CHANGED: 'orfree of charge;' -> 'ormonetisation;',,scope_and_product_coverage; open_source_software_treatment,scope_and_product_coverage
233,ITRE-AM-746920,Article 3 – paragraph 1 – point 21 a (new),Beatrice Covassi; Robert Hajšel; Patrizia Toia; Carlos Zorrinho,insertion,"NEW: (21a)'consumer' means any natural person who, under the circumstances of this Regulation, is acting for purposes which are outside their trade, business, craft or profession.",,,
234,ITRE-AM-746920,Article 3 – paragraph 1 – point 21 a (new),Henna Virkkunen; Sara Skyttedal; Ivan Štefanec; Tomas Tobé; Adam Jarubas,insertion,"NEW: 1aCommission Recommendation of 6 May 2003 concerning the definition of micro, small and medium-sized enterprises (notified under document number C(2003) 1422) (OJ L 124, 20.5.2003, p. 36).",,sme_and_proportionality,sme_and_proportionality
235,ITRE-AM-746920,Article 3 – paragraph 1 – point 21 b (new),Henna Virkkunen; Sara Skyttedal; Ivan Štefanec; Tomas Tobé; Adam Jarubas,insertion,"NEW: (21b)‘provider of an online marketplace’ means a provider of an intermediary service using an online interface, which allows consumers to conclude distance contracts with traders for the sale of products;","Adding a definition of an online marketplace, in line with Article 3 (1)(14) of the General Product Safety Regulation.",scope_and_product_coverage,interface_with_sectoral_legislation
236,ITRE-AM-746920,Article 3 – paragraph 1 – point 26,Evžen Tošenovský,deletion,"DELETED: (26)‘reasonably foreseeable misuse’ means the use of a product with digital elements in a way that is not in accordance with its intended purpose, but which may result from reasonably foreseeable human behaviour or interaction with other systems;",,scope_and_product_coverage,scope_and_product_coverage
237,ITRE-AM-746920,Article 3 – paragraph 1 – point 31,Bart Groothuis,modification,"CHANGED: 'assessed;' -> 'assessed, excluding security and maintenances updates that aim to mitigate vulnerabilities;'",Security updates should still be able to go through without delay by a conformity assessment.,conformity_assessment_and_third_party_verification; essential_cybersecurity_requirements,scope_and_product_coverage; essential_cybersecurity_requirements; support_period_and_lifecycle_obligations; conformity_assessment_and_third_party_verification
238,ITRE-AM-746920,Article 3 – paragraph 1 – point 31,Evžen Tošenovský,modification,"CHANGED: 'change to' -> 'changeby the manufacturerto' | CHANGED: 'market, which affects' -> 'market,beyond necessary security and maintenance updates,whichresults in modification of the product’s fundamental funct' | CHANGED: 'Ior results in a modification to the intended use for which the product with digital elements has been assessed;' -> 'I;'",,conformity_assessment_and_third_party_verification; essential_cybersecurity_requirements,scope_and_product_coverage; essential_cybersecurity_requirements
239,ITRE-AM-746920,Article 3 – paragraph 1 – point 31,Beatrice Covassi; Robert Hajšel; Patrizia Toia; Carlos Zorrinho,modification,CHANGED: 'change to' -> 'changeor a series of changesto',,conformity_assessment_and_third_party_verification,scope_and_product_coverage; essential_cybersecurity_requirements
240,ITRE-AM-746920,Article 3 – paragraph 1 – point 34 a (new),Evžen Tošenovský,insertion,"NEW: (34a)‘international standard’ means an international standard as defined in Article 2, point (1)(a), of Regulation (EU) No 1025/2012;",,standardisation_and_harmonised_standards,
241,ITRE-AM-746920,Article 3 – paragraph 1 – point 34 b (new),Evžen Tošenovský,insertion,"NEW: (34b)‘near miss’ means a near miss as defined in Article 6, point (5), of Directive (EU) 2022/2555;",,vulnerability_disclosure_and_incident_reporting,
242,ITRE-AM-746920,Article 3 – paragraph 1 – point 34 c (new),Evžen Tošenovský,insertion,"NEW: (34c)‘incident’ means an incident as defined in Article 6, point (6), of Directive (EU) 2022/2555;",,vulnerability_disclosure_and_incident_reporting,
243,ITRE-AM-746920,Article 3 – paragraph 1 – point 36 a (new),Evžen Tošenovský,insertion,"NEW: (36a)‘cyber threat’ means a cyber threat as defined in Article 2, point (10), of Regulation (EU) 2019/881;",,,
244,ITRE-AM-746920,Article 3 – paragraph 1 – point 36 b (new),Evžen Tošenovský,insertion,"NEW: (36b)‘significant cyber threat’ means a significant cyber threat as defined in Article 2, point (11), of Regulation (EU) 2019/881;",,,
245,ITRE-AM-746920,Article 3 – paragraph 1 – point 37,Evžen Tošenovský,modification,ADDED: 'or ‘SBOM’',,supply_chain_security_obligations,scope_and_product_coverage; supply_chain_security_obligations
246,ITRE-AM-746920,Article 3 – paragraph 1 – point 39,Bart Groothuis,modification,CHANGED: 'owner;' -> 'owner;but does not include a vulnerability for which there is reliable evidence that the exploitation was performed by a',Vulnerability research should not be hindered.,vulnerability_disclosure_and_incident_reporting,essential_cybersecurity_requirements
247,ITRE-AM-746920,Article 3 – paragraph 1 – point 39,Henna Virkkunen; Sara Skyttedal; Ivan Štefanec; Tomas Tobé; Adam Jarubas,modification,CHANGED: '‘activelyexploited' -> '‘knownexploited' | CHANGED: 'a vulnerability' -> 'apatchedvulnerability' | CHANGED: 'whichthere isreliable evidence that' -> 'which reliable evidenceexiststhat',"Requiring the disclosure of a vulnerability should take place after that vulnerability has been patched or remedied, as the reporting of unpatched vulnerabilities could create significant new security",vulnerability_disclosure_and_incident_reporting,essential_cybersecurity_requirements; standardisation_and_harmonised_standards
248,ITRE-AM-746920,Article 3 – paragraph 1 – point 39 – point a (new),Bart Groothuis,insertion,NEW: a)‘expected product lifetime’ means the lifetime a manufacturer documents in the information and instructions to the user defined in Annex II (8). For software it includes the iterated modifications within the version that was placed in the market.,Corresponding definition used in Article 10.,support_period_and_lifecycle_obligations,support_period_and_lifecycle_obligations
249,ITRE-AM-746920,Article 3 – paragraph 1 – point 39 a (new),Henna Virkkunen; Sara Skyttedal; Ivan Štefanec; Tomas Tobé; Adam Jarubas,insertion,"NEW: (39a)‘incident’ means an incident as defined in Article 6, point (6), of Directive (EU) 2022/2555;",Reference to and alignment with the definition of incident found in the NIS-2 Directive.,interface_with_sectoral_legislation; vulnerability_disclosure_and_incident_reporting,
250,ITRE-AM-746920,Article 4 – paragraph 2,Ignazio Corrao,modification,"CHANGED: '2.At trade fairs, exhibitions and demonstrations or similar events,Member' -> '2. Member' | CHANGED: 'a product' -> 'aprototypeproduct' | CHANGED: 'elements which' -> 'elementsor a software,which' | CHANGED: 'Regulation.' -> 'Regulation, provided that the availability is limited in time and geographical area and is supplied exclusively for test'",,scope_and_product_coverage,scope_and_product_coverage
251,ITRE-AM-746920,Article 4 – paragraph 3,Ignazio Corrao,deletion,DELETED: 3.Member States shall not prevent the making available of unfinished software which does not comply with this Regulation provided that the software is only made available for a limited period required for testing purposes and that a visible sign clearly indicates that it does not comply with this Regulation and will not be available on the market for purposes other than testing.,,scope_and_product_coverage,
252,ITRE-AM-746920,Article 4 – paragraph 3,Matteo Gazzini; Paolo Borchia; Isabella Tovaglieri; Elena Lizzi; Matteo Adinolfi,modification,CHANGED: 'Regulationprovided that the software is only made available for a limited period required for testing purposes and that ' -> 'Regulation.',,scope_and_product_coverage,
253,ITRE-AM-746920,Article 4 – paragraph 3,Evžen Tošenovský,modification,"CHANGED: 'available for' -> 'availablein a non-production versionfor' | CHANGED: 'purposes and' -> 'purposes, including software labelled as “beta,” “pre-release,” or “candidate"",and'",,scope_and_product_coverage,
254,ITRE-AM-746920,Article 4 – paragraph 3 a (new),Christophe Grudler; Valérie Hayer,insertion,"NEW: 3a.This Regulation shall not prevent Member States from applying additional measures to products with digital elements provided that such measures are proportionate and aim to safeguard products, infrastructure or processed information and provided that those specific products are used for critical system functions or critical components deployed in sectors of high criticality as set out in Annex ","The maximal harmonisation nature of the regulation does not allow Member States to apply additional national requirements for regulated products, given that such additional requirements could prevent ",market_surveillance_and_enforcement; interface_with_sectoral_legislation,scope_and_product_coverage
255,ITRE-AM-746920,Article 5 – paragraph 1 – point 1,Ignazio Corrao,modification,"CHANGED: 'and, where applicable, updated,' -> 'andprovided with the necessary security' | ADDED: 'functionality updates, and'",,essential_cybersecurity_requirements; support_period_and_lifecycle_obligations,essential_cybersecurity_requirements
256,ITRE-AM-746920,Article 6 – paragraph 1,Beatrice Covassi; Robert Hajšel; Patrizia Toia; Carlos Zorrinho,insertion,NEW: The integration of a component of higher class of criticality does not change the level of criticality for the product the component is integrated into.,,scope_and_product_coverage; conformity_assessment_and_third_party_verification,
257,ITRE-AM-746920,Article 6 – paragraph 2 – introductory part,Evžen Tošenovský,modification,"CHANGED: '2. The' -> '2.On the basis of the reports referred to in Article 56 and after consulting the Cyber Resilience Expert Group, ADCO, EN' | CHANGED: 'acts in' -> 'acts,in'",,scope_and_product_coverage; market_surveillance_and_enforcement,scope_and_product_coverage; conformity_assessment_and_third_party_verification; vulnerability_disclosure_and_incident_reporting
258,ITRE-AM-746920,Article 6 – paragraph 2 – introductory part,Matteo Gazzini; Paolo Borchia; Isabella Tovaglieri; Elena Lizzi; Matteo Adinolfi,modification,ADDED: 'The Commission should carry out periodical checks to assess whether the list of critical products with digital elements ',,scope_and_product_coverage,scope_and_product_coverage; conformity_assessment_and_third_party_verification
259,ITRE-AM-746920,Article 6 – paragraph 3,Evžen Tošenovský,deletion,DELETED: 3.The Commission is empowered to adopt a delegated act in accordance with Article 50 to supplement this Regulation by specifying the definitions of the product categories under class I and class II as set out in Annex III. The delegated act shall be adopted [by 12 months since the entry into force of this Regulation].,,scope_and_product_coverage,conformity_assessment_and_third_party_verification
260,ITRE-AM-746920,Article 6 – paragraph 3,Bart Groothuis,modification,"CHANGED: 'III. The' -> 'III.If it expands the scope of the product categories, the procedure in paragraph 2 should be followed.The' | CHANGED: 'Regulation].' -> 'Regulation].The Commission shall establish a process under which a product which is a candidate to be a critical product'","This indicates that the initial scope of the CRA is not clearly stated from the beginning, and may be subject to changes. This should not be the case. If not deleted, guardrails should be introduced.",scope_and_product_coverage,scope_and_product_coverage; conformity_assessment_and_third_party_verification
261,ITRE-AM-746920,Article 6 – paragraph 3,Beatrice Covassi; Robert Hajšel; Patrizia Toia; Carlos Zorrinho,modification,CHANGED: '[by12months' -> '[by9months',,scope_and_product_coverage,conformity_assessment_and_third_party_verification
262,ITRE-AM-746920,Article 6 – paragraph 3,Ignazio Corrao,modification,CHANGED: '[by12months' -> '[by6months',,scope_and_product_coverage,conformity_assessment_and_third_party_verification
263,ITRE-AM-746920,Article 6 – paragraph 4,Ignazio Corrao,modification,"CHANGED: '(3).' -> '(3).By exception, small and micro enterprises can use the procedure referred to in Article 24(2).'",,conformity_assessment_and_third_party_verification; sme_and_proportionality,scope_and_product_coverage; conformity_assessment_and_third_party_verification; sme_and_proportionality
264,ITRE-AM-746920,Article 6 – paragraph 5,Bart Groothuis,deletion,DELETED: (b) relevant for the resilience of the overall supply chain of products with digital elements against disruptive events.,"The Commission is already empowered to amend the lists of critical products. If a product is in the future considered ‘highly critical,’ it should simply be included anew under Class II of Annex III t",conformity_assessment_and_third_party_verification; supply_chain_security_obligations,scope_and_product_coverage; conformity_assessment_and_third_party_verification; supply_chain_security_obligations; interface_with_sectoral_legislation
265,ITRE-AM-746920,Article 6 – paragraph 5,Evžen Tošenovský,deletion,DELETED: (b) relevant for the resilience of the overall supply chain of products with digital elements against disruptive events.,,conformity_assessment_and_third_party_verification; supply_chain_security_obligations,scope_and_product_coverage; supply_chain_security_obligations
266,ITRE-AM-746920,Article 6 – paragraph 5 – introductory part,Beatrice Covassi; Robert Hajšel; Patrizia Toia; Carlos Zorrinho,modification,"CHANGED: 'scheme pursuant' -> 'schemeat assurance level ""high""pursuant'",,conformity_assessment_and_third_party_verification,scope_and_product_coverage; essential_cybersecurity_requirements; conformity_assessment_and_third_party_verification
267,ITRE-AM-746920,Article 9 – paragraph 1 – subparagraph 1 (new),Beatrice Covassi; Robert Hajšel; Patrizia Toia; Carlos Zorrinho,insertion,"NEW: Internal networks of a machinery product with digital elements are not subject to this Regulation when they are secured via dedicated endpoints and isolated from external networks, and where the manufacturer assess and indicate the intended final use of the component for the sole internal operations and communication.",,scope_and_product_coverage,scope_and_product_coverage
268,ITRE-AM-746920,Article 10 – paragraph -1 (new),Zdzisław Krasnodębski; Adam Bielan; Kosma Złotowski,insertion,NEW: -1.Software manufacturers which qualify as a microenterprise as defined in Commission Recommendation 2003/361/EC shall make best efforts to comply with the requirements in this Regulation during the 12 months from placing a software on the market.,,sme_and_proportionality; essential_cybersecurity_requirements,
269,ITRE-AM-746920,Article 10 – paragraph 1,Bart Groothuis,modification,CHANGED: 'I.' -> 'I.Manufacturers may deviate from a requirement in justified cases if it does not apply due to the nature of the product.',Not all of requirements are relevant to each and every manufacture's product. This should be clarified and justified.,essential_cybersecurity_requirements,scope_and_product_coverage; essential_cybersecurity_requirements
270,ITRE-AM-746920,Article 10 – paragraph 1,Evžen Tošenovský,modification,CHANGED: 'ensure that' -> 'ensuretake reasonable measuresthat',,essential_cybersecurity_requirements,scope_and_product_coverage; essential_cybersecurity_requirements
271,ITRE-AM-746920,Article 10 – paragraph 2,Matteo Gazzini; Paolo Borchia; Isabella Tovaglieri; Elena Lizzi; Matteo Adinolfi,modification,CHANGED: 'with a' -> 'witha data connection to an external device or network ofa',,essential_cybersecurity_requirements,scope_and_product_coverage
272,ITRE-AM-746920,Article 10 – paragraph 4,Ignazio Corrao,modification,"CHANGED: 'elements.They shallensure' -> 'elements.It falls upon the manufacturer toensure' | CHANGED: 'elements.' -> 'elements, in particular in the case of open source software that have not been placed on the market in exchange of finan'",,supply_chain_security_obligations,scope_and_product_coverage; open_source_software_treatment; supply_chain_security_obligations
273,ITRE-AM-746920,Article 10 – paragraph 4,Beatrice Covassi; Robert Hajšel; Patrizia Toia; Carlos Zorrinho,modification,"CHANGED: 'elements.' -> 'elements, including when they integrate components of open-source software that have not been supplied in the course of '",,supply_chain_security_obligations; open_source_software_treatment,scope_and_product_coverage; open_source_software_treatment; supply_chain_security_obligations
274,ITRE-AM-746920,Article 10 – paragraph 4,Evžen Tošenovský,modification,CHANGED: 'shall ensure' -> 'shalltake reasonable measuresensure',,supply_chain_security_obligations,scope_and_product_coverage; supply_chain_security_obligations
275,ITRE-AM-746920,Article 10 – paragraph 6 – subparagraph 1,Ignazio Corrao,modification,"CHANGED: 'market,andfor the expected product lifetime orfor a' -> 'market, fora' | ADDED: 'at least' | CHANGED: 'from the placing of the product on the market,' -> 'orthe expected product lifetime or,' | CHANGED: 'isshorter,' -> 'islonger,' | CHANGED: 'I.' -> 'I.In the case of small and micro enterprises this obligation and the obligation foreseen in Article 10(12) are limited t'",,support_period_and_lifecycle_obligations,scope_and_product_coverage; essential_cybersecurity_requirements; support_period_and_lifecycle_obligations; vulnerability_disclosure_and_incident_reporting; sme_and_proportionality
276,ITRE-AM-746920,Article 10 – paragraph 6 – subparagraph 1,Evžen Tošenovský,insertion,"NEW: The Commission may, after consulting the Cyber Resilience Expert Group, ADCO, ENISA, and, where necessary, other relevant stakeholders, by means of implementing acts, specify the format and information of the label for consumer products with digital elements, which might easily indicate the expected lifetime of the product. On top of that, this label might contain additional information enabling c",,support_period_and_lifecycle_obligations,scope_and_product_coverage; vulnerability_disclosure_and_incident_reporting
277,ITRE-AM-746920,Article 10 – paragraph 6 – subparagraph 1,Matteo Gazzini; Paolo Borchia; Isabella Tovaglieri; Elena Lizzi; Matteo Adinolfi,modification,"CHANGED: 'market,and forthe' -> 'market,the manufacturer shall definethe' | CHANGED: 'lifetimeor for a period of five years from' -> 'lifetime. In doing so,' | CHANGED: 'placing of theproducton' -> 'manufacturer shall ensure that expectedproductlifetime is in line with reasonable consumer expectations and that it prom' | CHANGED: 'market, whichever is shorter,manufacturers' -> 'need to ensure long-lasting products with digital elements.Manufacturers' | CHANGED: 'I.' -> 'Iduring at least the expe",,support_period_and_lifecycle_obligations,scope_and_product_coverage; essential_cybersecurity_requirements; support_period_and_lifecycle_obligations
278,ITRE-AM-746920,Article 10 – paragraph 6 – subparagraph 1,Bart Groothuis,insertion,NEW: Manufacturers shall determine the expected product lifetime referred to in the first subparagraph of this paragraph taking into account the time users reasonably expect to be able to use the product given its functionality and intended purpose and therefore can expect to receive security updates,"By setting as a main rule that the support period should cover the expected product lifetime, in combination with the transparency about the duration of this expected product lifetime (and therefore s",support_period_and_lifecycle_obligations,support_period_and_lifecycle_obligations
279,ITRE-AM-746920,Article 10 – paragraph 6 – subparagraph 1,Christophe Grudler; Valérie Hayer,insertion,"NEW: 1aDirective 2009/125/EC of the European Parliament and of the Council of 21 October 2009 establishing a framework for the setting of ecodesign requirements for energy-related products (OJ L 285, 31.10.2009, p. 10).",Many products should be relied on for much longer than five years. The five-year maximum could lead economic operators to only provide cybersecurity support for five years. Establishing a defined mini,support_period_and_lifecycle_obligations,essential_cybersecurity_requirements
280,ITRE-AM-746920,Article 10 – paragraph 6 – subparagraph 1,Henna Virkkunen; Sara Skyttedal; Ivan Štefanec; Tomas Tobé; Adam Jarubas,modification,"CHANGED: 'When' -> 'Manufacturers shall ensure,when' | CHANGED: 'lifetimeor for a period of five years from the placing of the product on the market,whichever is shorter, manufacturers ' -> 'lifetime, that'","The support period should cover the expected product lifetime. The support period should be based on a time period that users can reasonably expect to be able to use the product, given its functionali",support_period_and_lifecycle_obligations,scope_and_product_coverage; essential_cybersecurity_requirements; support_period_and_lifecycle_obligations
281,ITRE-AM-746920,Article 10 – paragraph 6 – subparagraph 1,Beatrice Covassi; Robert Hajšel; Patrizia Toia; Carlos Zorrinho,modification,"CHANGED: 'lifetimeor for a period of five years from the placing of the product on the market, whichever is shorter,' -> 'lifetime,' | CHANGED: 'I.' -> 'I.Where applicable, the expected product lifetime shall be stated on the product or be included in contractual agreement'",,support_period_and_lifecycle_obligations,scope_and_product_coverage; essential_cybersecurity_requirements; support_period_and_lifecycle_obligations
282,ITRE-AM-746920,Article 10 – paragraph 6 – subparagraph 1 a (new),Christophe Grudler; Valérie Hayer,insertion,NEW: Manufacturers shall determine the expected product lifetime referred to in the first subparagraph of this paragraph taking into account the time users reasonably expect to be able to use the product given functionality and intended purpose and therefore can expect to receive security updates.,The support period should be based on the time users reasonably expect to be able to use the product given its functionality and intended purpose. In order to avoid a race to the bottom which would un,support_period_and_lifecycle_obligations,support_period_and_lifecycle_obligations
283,ITRE-AM-746920,Article 10 – paragraph 6 – subparagraph 2 a (new),Henna Virkkunen; Sara Skyttedal; Ivan Štefanec; Tomas Tobé; Adam Jarubas,insertion,"NEW: Manufacturers shall determine the expected product lifetime referred to in the first subparagraph of this paragraph, taking into account the time users reasonably expect to be able to use the product given its functionality and intended purpose, and therefore can expect to receive security updates.","The support period should cover the expected product lifetime. The support period should be based on a time period that users can reasonably expect to be able to use the product, given its functionali",support_period_and_lifecycle_obligations,support_period_and_lifecycle_obligations
284,ITRE-AM-746920,Article 10 – paragraph 7 – subparagraph 1,Evžen Tošenovský,modification,"CHANGED: '23.' -> '23.The technical documentation shall be made available by the manufacturers, to the market surveillance authorities or C'",,market_surveillance_and_enforcement; vulnerability_disclosure_and_incident_reporting,scope_and_product_coverage; market_surveillance_and_enforcement
285,ITRE-AM-746920,Article 10 – paragraph 8,Beatrice Covassi; Robert Hajšel; Patrizia Toia; Carlos Zorrinho,modification,"CHANGED: 'years after' -> 'years, or for the expected product lifetime, whichever is longer,after'",,market_surveillance_and_enforcement; support_period_and_lifecycle_obligations,scope_and_product_coverage; support_period_and_lifecycle_obligations; market_surveillance_and_enforcement
286,ITRE-AM-746920,Article 10 – paragraph 8,Ignazio Corrao,modification,"CHANGED: 'conformity,where relevant,at' -> 'conformity, at' | CHANGED: 'for ten' -> 'forat leastten'",,market_surveillance_and_enforcement,scope_and_product_coverage; market_surveillance_and_enforcement
287,ITRE-AM-746920,Article 10 – paragraph 8,Marc Botenga,modification,"REMOVED: 'where relevant,'",,market_surveillance_and_enforcement,scope_and_product_coverage; market_surveillance_and_enforcement
288,ITRE-AM-746920,Article 10 – paragraph 9,Evžen Tošenovský,modification,"CHANGED: 'harmonised standards,' -> 'harmonisedor internationalstandards,' | CHANGED: 'verified.' -> 'verified.Where new knowledge, techniques, or standards become available, which were not available at the time of design '",,conformity_assessment_and_third_party_verification,scope_and_product_coverage; standardisation_and_harmonised_standards
289,ITRE-AM-746920,Article 10 – paragraph 9,Beatrice Covassi; Robert Hajšel; Patrizia Toia; Lina Gálvez Muñoz; Carlos Zorrinho,modification,"CHANGED: 'harmonised standards,' -> 'harmonisedhorizontal or domain specificstandards,'",,conformity_assessment_and_third_party_verification,scope_and_product_coverage; standardisation_and_harmonised_standards
290,ITRE-AM-746920,Article 10 – paragraph 9,Bart Groothuis,modification,"CHANGED: 'harmonised standards,' -> 'harmonisedor industrystandards,' | CHANGED: 'schemesor the common specifications referred to in Article 19by' -> 'schemes by'",To reflect the deletion in article 19.,conformity_assessment_and_third_party_verification,scope_and_product_coverage; standardisation_and_harmonised_standards
291,ITRE-AM-746920,Article 10 – paragraph 9 a (new),Ignazio Corrao,insertion,"NEW: 9a.Manufacturers shall publicly communicate and advertise the expected product lifetime of their products, in a clear and understandable manner, and in particular, the minimal duration of the provision of security updates.",,support_period_and_lifecycle_obligations,support_period_and_lifecycle_obligations
292,ITRE-AM-746920,Article 10 – paragraph 10,Marc Botenga,modification,"CHANGED: 'elements.' -> 'elements.The expected product lifetime shall be communicated and advertised in a clear manner by the manufacturers, and '",,essential_cybersecurity_requirements,scope_and_product_coverage; support_period_and_lifecycle_obligations
293,ITRE-AM-746920,Article 10 – paragraph 10 a (new),Bart Groothuis,insertion,"NEW: 10a.Manufacturers shall clearly and understandably specify in an easily accessible manner and where applicable on the packaging of the product with digital elements, the end date for the expected product lifetime as referred to in paragraph 6, including at least the month and year, until which the manufacturer will at least ensure the effective handling of vulnerabilities in accordance with the es","By setting as a main rule that the support period should cover the expected product lifetime, in combination with the transparency about the duration of this expected product lifetime (and therefore s",support_period_and_lifecycle_obligations,scope_and_product_coverage; essential_cybersecurity_requirements; support_period_and_lifecycle_obligations
294,ITRE-AM-746920,Article 10 – paragraph 10 a (new),Henna Virkkunen; Sara Skyttedal; Ivan Štefanec; Tomas Tobé; Adam Jarubas,insertion,"NEW: 10a.Manufacturers shall clearly specify in an easily accessible manner, and where applicable, on the packaging of the product with digital elements, the end date for the expected product lifetime as referred to in paragraph 6, including at least the month and year, until which the manufacturer will at least ensure the effective handling of vulnerabilities in accordance with the essential requireme",Users should be clearly informed about the expected product lifetime during which the manufacturer will provide security updates or otherwise effectively handle vulnerabilities.,support_period_and_lifecycle_obligations,scope_and_product_coverage; essential_cybersecurity_requirements; support_period_and_lifecycle_obligations
295,ITRE-AM-746920,Article 10 – paragraph 12,Beatrice Covassi; Robert Hajšel; Patrizia Toia; Carlos Zorrinho,modification,"CHANGED: 'lifetimeor for a period of five years after the placing on the market of a product with digital elements, whichever is s' -> 'lifetime,'",,support_period_and_lifecycle_obligations,scope_and_product_coverage; essential_cybersecurity_requirements; support_period_and_lifecycle_obligations; market_surveillance_and_enforcement
296,ITRE-AM-746920,Article 10 – paragraph 12,Evžen Tošenovský,modification,"CHANGED: 'lifetime or' -> 'lifetimeindicated by the manufacturer in accordance with paragraph 6 of this Article,or'",,support_period_and_lifecycle_obligations,scope_and_product_coverage; essential_cybersecurity_requirements; support_period_and_lifecycle_obligations; market_surveillance_and_enforcement
297,ITRE-AM-746920,Article 10 – paragraph 12,Marc Botenga,modification,"CHANGED: 'the expectedproduct lifetime or for a period of five years after the placing on the marketof' -> 'theentireexpectedlifespanof' | REMOVED: 'whichever is shorter,'",,support_period_and_lifecycle_obligations,scope_and_product_coverage; essential_cybersecurity_requirements; market_surveillance_and_enforcement
298,ITRE-AM-746920,Article 10 – paragraph 12,Ignazio Corrao,modification,"CHANGED: 'marketandfor' -> 'marketfor a period of at least five years orfor' | CHANGED: 'lifetimeor for a period of five years after the placing on the market of a product with digital elements,' -> 'lifetime,' | CHANGED: 'isshorter,' -> 'islonger,'",,support_period_and_lifecycle_obligations,scope_and_product_coverage; essential_cybersecurity_requirements; support_period_and_lifecycle_obligations; market_surveillance_and_enforcement
299,ITRE-AM-746920,Article 10 – paragraph 13 a (new),Evžen Tošenovský,insertion,"NEW: 13a.For the purposes of complying with the obligations laid down in this Regulation, manufacturers shall ensure that they use adequate skilled professionals in the field of cybersecurity.",,essential_cybersecurity_requirements,
300,ITRE-AM-746920,Article 10 – paragraph 15,Bart Groothuis,modification,"ADDED: 'and following an open consultation with stakeholders and in line with international standards,'","Industry consultations, best practices, or standards ought to be taken into consideration.",supply_chain_security_obligations,supply_chain_security_obligations
